map,agent,pick%,win%
corrode,deadlock,0%,0%
corrode,clove,0%,0%
corrode,miks,0%,0%
breeze,yoru,79%,36.4%
breeze,omen,21%,33.3%
breeze,viper,93%,46.2%
breeze,sova,100%,50.0%
breeze,astra,79%,54.5%
breeze,waylay,0%,0%
breeze,neon,36%,80.0%
breeze,fade,0%,0%
breeze,killjoy,0%,0%
breeze,cypher,7%,100.0%
breeze,brimstone,0%,0%
breeze,tejo,0%,0%
breeze,raze,0%,0%
breeze,breach,0%,0%
breeze,skye,0%,0%
breeze,jett,57%,37.5%
breeze,veto,7%,0.0%
breeze,kayo,0%,0%
breeze,chamber,0%,0%
breeze,phoenix,0%,0%
breeze,gekko,21%,100.0%
breeze,reyna,0%,0%
breeze,sage,0%,0%
breeze,iso,0%,0%
breeze,harbor,0%,0%
breeze,vyse,0%,0%
breeze,deadlock,0%,0%
breeze,clove,0%,0%
breeze,miks,0%,0%
